"","age","gender","region_category","membership_category","joined_through_referral","preferred_offer_types","medium_of_operation","internet_option","days_since_last_login","avg_time_spent","avg_transaction_value","avg_frequency_login_days","points_in_wallet","used_special_discount","offer_application_preference","past_complaint","complaint_status","feedback","churn_risk_score","Days_from","time_from_last_visit"
"4268",51,"F","City","No Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",11,177.34,28478.54,21,719.51,"Yes","No","No","Not Applicable","Poor Customer Service","4",266,264
"4269",53,"F","Town","Basic Membership","No","Without Offers","Smartphone","Mobile_Data",10,169.89,8007.44,47.6157067476678,608.7,"No","Yes","Yes","Solved","Too many ads","5",531,230
"4270",53,"M","Town","Platinum Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",15,32.16,39998.34,26,706.58,"Yes","No","Yes","Unsolved","Poor Website","3",818,349
"4271",22,"M","City","Basic Membership","No","Without Offers","Both","Mobile_Data",9,882.8,21885.81,18,140.737723292068,"Yes","Yes","No","Not Applicable","Poor Customer Service","4",221,212
"4273",32,"F","Town","Premium Membership","Yes","Credit/Debit Card Offers","Desktop","Wi-Fi",7,41.58,10820.73,24,788.24,"Yes","No","Yes","Solved in Follow-up","No reason specified","3",862,163
"4275",52,"M","Town","Basic Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",13,62.05,9392.78,26,612.05,"Yes","No","Yes","No Information Available","Poor Product Quality","5",889,303
"4276",40,"F","City","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",10,33.93,39800,7,601.7,"No","Yes","No","Not Applicable","Poor Customer Service","4",524,234
"4277",55,"F","Town","Premium Membership","No","Gift Vouchers/Coupons","Smartphone","Wi-Fi",25,217.7,15204.51,15,767.22,"No","Yes","No","Not Applicable","Poor Customer Service","3",709,582
"4280",43,"M","Village","Gold Membership","Yes","Without Offers","Desktop","Fiber_Optic",15,367.4,3365.71,12,698.96,"No","Yes","No","Not Applicable","Too many ads","4",865,359
"4282",52,"M","City","Silver Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",13,84.24,58342.16,18,731.16,"No","Yes","Yes","No Information Available","User Friendly Website","2",759,312
"4285",28,"M","City","Silver Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",5,162.64,30783.1,18,791.14,"No","Yes","Yes","Solved in Follow-up","Too many ads","3",141,99
"4287",45,"F","City","No Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",19,53.22,24217.05,15,668.74,"No","Yes","No","Not Applicable","Poor Product Quality","4",754,435
"4290",62,"M","Town","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",15,326.46,26263.78,9,677.83,"Yes","No","No","Not Applicable","Poor Product Quality","4",809,347
"4293",58,"F","City","Premium Membership","Yes","Gift Vouchers/Coupons","Desktop","Mobile_Data",7,1517.74553711812,43866.17,19,731.27,"Yes","No","Yes","Solved","Too many ads","3",797,160
"4295",47,"F","Town","Premium Membership","No","Without Offers","Desktop","Wi-Fi",5,139.24,28260.08,27,732.29,"Yes","No","Yes","Solved","Too many ads","3",285,108
"4298",10,"M","City","Gold Membership","Yes","Without Offers","Desktop","Fiber_Optic",7,164.24,22810.68,13,752.9,"Yes","No","No","Not Applicable","Poor Customer Service","3",232,167
"4299",50,"F","City","Platinum Membership","Yes","Without Offers","Smartphone","Fiber_Optic",17,1060.22613853821,25304.7,16,781.05,"No","Yes","No","Not Applicable","Poor Product Quality","3",463,395
"4301",46,"M","City","Platinum Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",13,33.74,18372.03,16,704.26,"Yes","No","Yes","Unsolved","Poor Product Quality","3",711,312
"4303",57,"M","City","Silver Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",12,221.89,4846.74,10,759.27,"Yes","Yes","No","Not Applicable","Poor Customer Service","3",493,286
"4304",30,"M","Town","No Membership","Yes","Gift Vouchers/Coupons","Both","Wi-Fi",12,612.95,44338.16,25,662.13,"Yes","No","No","Not Applicable","Poor Website","5",978,285
"4305",28,"F","City","Platinum Membership","Yes","Credit/Debit Card Offers","Both","Fiber_Optic",11,865.52,46907.01,21,710.44,"No","Yes","Yes","No Information Available","Too many ads","3",606,241
"4307",57,"F","City","Silver Membership","Yes","Without Offers","Desktop","Wi-Fi",19,33.28,20015.83,22,705.34,"No","Yes","No","Not Applicable","Poor Customer Service","3",416,447
"4309",32,"F","Town","Platinum Membership","Yes","Without Offers","Smartphone","Fiber_Optic",11,235.71,39504.41,17,758.08,"Yes","No","Yes","Solved in Follow-up","Quality Customer Care","1",930,241
"4310",59,"F","Town","No Membership","Yes","Without Offers","Desktop","Mobile_Data",16,328.26,14965.86,18,659.8,"Yes","No","No","Not Applicable","Poor Product Quality","4",1048,363
"4314",35,"M","Village","Silver Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",19,96.74,14624.64,11,713.49,"No","Yes","Yes","Solved in Follow-up","Poor Website","4",507,455
"4315",33,"M","City","Premium Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",11,224.72,26053.08,13,739.16,"Yes","No","Yes","No Information Available","Poor Website","3",58,251
"4316",33,"F","City","Platinum Membership","Yes","Credit/Debit Card Offers","Smartphone","Mobile_Data",3,1183.28,75425.61,6,825.67,"Yes","Yes","No","Not Applicable","Products always in Stock","1",1016,54
"4317",31,"F","Village","Premium Membership","Yes","Without Offers","Smartphone","Wi-Fi",15,76.2,38044.13,7,914.287692482379,"Yes","No","Yes","No Information Available","Reasonable Price","2",681,344
"4319",63,"M","City","Gold Membership","No","Without Offers","Desktop","Fiber_Optic",7,495.23,27463.91,19,762.85,"Yes","Yes","Yes","Unsolved","Poor Website","3",677,152
"4321",16,"M","City","Silver Membership","No","Without Offers","Desktop","Fiber_Optic",13,33.48,1526.68,13,603.32,"Yes","No","No","Not Applicable","Poor Product Quality","4",292,304
"4324",41,"F","Town","No Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",4,470.79,32058.51,24,562.23,"No","Yes","No","Not Applicable","Poor Product Quality","5",687,82
"4326",38,"M","City","Premium Membership","Yes","Credit/Debit Card Offers","Both","Wi-Fi",5,620.86,25325.81,9,799.91,"Yes","Yes","Yes","Solved in Follow-up","Products always in Stock","1",1061,100
"4328",50,"M","Village","Platinum Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",8,419.14,42752.48,18,780.1,"Yes","Yes","No","Not Applicable","No reason specified","3",419,174
"4329",41,"F","Village","Basic Membership","No","Credit/Debit Card Offers","Both","Wi-Fi",19,654.56,30217.23,19,631.86,"Yes","Yes","Yes","Unsolved","Poor Website","4",836,452
"4330",10,"M","Town","Basic Membership","No","Without Offers","Desktop","Wi-Fi",15,317.47,15905.08,21,694.29,"No","Yes","Yes","Solved","Poor Website","5",860,354
"4331",24,"F","Town","Premium Membership","No","Credit/Debit Card Offers","Smartphone","Fiber_Optic",22,1138.2437930025,16505.42,29,758.64,"No","Yes","Yes","Unsolved","Too many ads","3",525,511
"4332",35,"F","Town","Basic Membership","Yes","Credit/Debit Card Offers","Both","Wi-Fi",11,271.22,9291.1,20,602.94,"Yes","No","No","Not Applicable","Poor Customer Service","4",653,246
"4336",14,"M","Town","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",19,73.84,17306.58,11,514.35,"Yes","No","Yes","Unsolved","Poor Website","5",577,446
"4337",62,"M","City","Basic Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",21,74.98,7476.38,23,650.97,"No","Yes","Yes","Solved in Follow-up","Too many ads","4",614,486
"4340",38,"M","Town","Gold Membership","Yes","Without Offers","Both","Fiber_Optic",11,800.96,37591.8,21,748.37,"Yes","No","Yes","No Information Available","Poor Website","3",550,243
"4343",40,"F","Town","Gold Membership","No","Credit/Debit Card Offers","Smartphone","Mobile_Data",15,32.5,87113.63,10,484.803233328452,"No","Yes","No","Not Applicable","Products always in Stock","2",739,340
"4346",34,"F","Village","Gold Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",6,869.54,45956.63,25,407.135075618085,"Yes","Yes","Yes","Unsolved","Poor Product Quality","4",72,129
"4347",35,"F","Town","Basic Membership","Yes","Credit/Debit Card Offers","Desktop","Fiber_Optic",14,58.84,7677.69,8,554.79,"Yes","No","Yes","No Information Available","Poor Website","5",637,314
"4350",21,"M","Town","Premium Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",16,66.32,13455.36,15,725.05,"No","Yes","No","Not Applicable","User Friendly Website","2",1064,367
"4352",10,"M","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",6,145.62,31225.46,10,726.58,"No","Yes","Yes","Solved in Follow-up","Poor Customer Service","3",548,136
"4353",45,"M","Town","Basic Membership","Yes","Without Offers","Smartphone","Fiber_Optic",16,168.13,42199.18,5,673.24,"Yes","No","No","Not Applicable","Poor Website","4",195,362
"4354",20,"M","City","Basic Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",21,31.87,28747.07,7,648.34,"No","Yes","Yes","Solved","Poor Product Quality","5",432,494
"4355",47,"M","Town","Platinum Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",9,374.36,67299.54,14,771.75,"Yes","Yes","No","Not Applicable","Reasonable Price","2",468,193
"4356",21,"M","City","No Membership","Yes","Without Offers","Desktop","Fiber_Optic",6,394.16,28391.98,24,504.74,"No","Yes","Yes","No Information Available","Poor Product Quality","5",548,127
"4357",14,"F","City","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",9,71.43,22224.48,6,638.45,"No","Yes","Yes","Solved","Poor Product Quality","5",418,211
"4360",59,"F","Town","Premium Membership","Yes","Credit/Debit Card Offers","Smartphone","Fiber_Optic",4,328.67,73598.49,6,758.06,"No","Yes","Yes","Unsolved","User Friendly Website","2",575,90
"4361",56,"F","City","No Membership","No","Without Offers","Smartphone","Mobile_Data",19,42.84,33058.75,19,573.93,"No","Yes","Yes","Solved in Follow-up","Poor Website","5",1023,438
"4362",41,"F","Town","Platinum Membership","Yes","Without Offers","Smartphone","Mobile_Data",1,150.67,34957.27,10,779.72,"Yes","No","No","Not Applicable","Too many ads","3",723,24
"4363",31,"F","City","No Membership","No","Gift Vouchers/Coupons","Desktop","Mobile_Data",12,182.43,17449.32,28,552.16,"No","Yes","Yes","No Information Available","Poor Product Quality","5",1016,283
"4364",10,"F","City","No Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",2,344.33,15516.21,2.46338999619309,646.42,"No","Yes","No","Not Applicable","No reason specified","5",469,28
"4365",55,"F","Town","Premium Membership","No","Without Offers","Smartphone","Mobile_Data",3,44.54,15137.98,2,767.62,"Yes","No","Yes","Solved in Follow-up","Products always in Stock","2",388,55
"4369",16,"M","Town","No Membership","No","Credit/Debit Card Offers","Both","Wi-Fi",4,278.46,17486.7,17,541.26,"Yes","Yes","Yes","Solved","Poor Website","5",180,85
"4370",36,"F","City","Gold Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",12,406.47,10024.75,16,601.16,"No","Yes","Yes","Solved","Poor Website","4",657,284
"4371",19,"F","Town","No Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",21,119.76,9562.7,6,508.82,"No","Yes","Yes","Solved in Follow-up","No reason specified","5",744,495
"4374",26,"F","City","Premium Membership","Yes","Credit/Debit Card Offers","Both","Wi-Fi",15,1216.56,64622.91,19,812.98,"Yes","Yes","No","Not Applicable","Products always in Stock","1",275,349
"4379",40,"F","Village","Gold Membership","Yes","Without Offers","Desktop","Mobile_Data",19,32.2,8800.91,10,718.68,"No","Yes","No","Not Applicable","No reason specified","3",47,451
"4382",52,"F","Village","No Membership","Yes","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",13,123,18575.03,24,670.35,"No","Yes","Yes","Solved in Follow-up","No reason specified","5",451,305
"4383",45,"F","Village","Silver Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",15,93.71,19808.8,7,383.94907462894,"No","Yes","No","Not Applicable","Poor Website","4",1067,348
"4385",50,"M","City","Basic Membership","No","Without Offers","Smartphone","Wi-Fi",14,342.58,7069.45,23,523.32,"Yes","No","Yes","Unsolved","Too many ads","5",298,314
"4387",35,"F","Town","Premium Membership","No","Credit/Debit Card Offers","Desktop","Fiber_Optic",20,238.54,34184.74,12,796.6,"Yes","Yes","Yes","Solved in Follow-up","No reason specified","3",53,471
"4388",55,"F","City","Basic Membership","Yes","Gift Vouchers/Coupons","Desktop","Fiber_Optic",18,1126.93,35740.05,17,713.27,"Yes","Yes","No","Not Applicable","Poor Product Quality","4",843,429
"4390",20,"M","Town","No Membership","No","Without Offers","Smartphone","Fiber_Optic",10,107.85,18509.8,10,863.172607469717,"No","Yes","No","Not Applicable","Too many ads","4",359,236
"4391",37,"F","City","Gold Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",13,172.63,48440.34,13,793.49,"No","Yes","Yes","Unsolved","Products always in Stock","1",185,292
"4393",50,"F","City","Basic Membership","No","Credit/Debit Card Offers","Desktop","Wi-Fi",12,97.62,4561.4,19,607.39,"Yes","No","Yes","Unsolved","Poor Customer Service","4",996,282
"4397",34,"M","Town","No Membership","Yes","Without Offers","Desktop","Wi-Fi",20,111.95,40979.47,15,559.31,"Yes","No","No","Not Applicable","Poor Website","5",1069,478
"4399",24,"M","Town","Silver Membership","No","Without Offers","Smartphone","Wi-Fi",15,32.69,46345.71,17,783.82,"Yes","No","No","Not Applicable","No reason specified","3",655,345
"4400",63,"M","Town","Basic Membership","Yes","Credit/Debit Card Offers","Smartphone","Wi-Fi",6,138.72,11001.3,10,1021.44964562318,"No","Yes","Yes","Unsolved","No reason specified","4",935,137
"4403",53,"F","Town","Silver Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",6,90.54,11421.27,6,718.12,"Yes","No","No","Not Applicable","User Friendly Website","2",775,137
"4404",43,"F","Town","Basic Membership","No","Gift Vouchers/Coupons","Desktop","Fiber_Optic",17,143.97,41890.09,17,624.35,"No","Yes","Yes","Unsolved","Poor Website","4",701,396
"4409",59,"F","City","Premium Membership","Yes","Without Offers","Smartphone","Fiber_Optic",20,135.19,32217.43,16,704.48,"No","Yes","No","Not Applicable","Poor Website","3",1073,470
"4411",26,"M","Town","No Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",16,83.42,28624.94,27,236.824327086329,"Yes","No","Yes","No Information Available","Poor Website","5",565,374
"4412",63,"F","City","Premium Membership","No","Without Offers","Desktop","Fiber_Optic",16,44.63,27237.28,13,755.58,"No","Yes","Yes","Solved in Follow-up","No reason specified","3",1046,368
"4413",48,"F","City","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",14,279.27,26861.91,26,519.01,"Yes","No","No","Not Applicable","Poor Product Quality","5",864,322
"4415",42,"F","Village","Basic Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",7,215.95,21748.36,10,607.31,"Yes","No","Yes","No Information Available","Poor Customer Service","4",824,167
"4418",35,"F","Town","No Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",21,226.66,18319.45,24,626.11,"Yes","No","No","Not Applicable","Poor Website","5",597,493
"4419",15,"F","City","No Membership","Yes","Credit/Debit Card Offers","Both","Fiber_Optic",12,540.56,14558.39,15,642.56,"Yes","No","Yes","Solved in Follow-up","Poor Customer Service","4",198,285
"4420",15,"M","City","Silver Membership","Yes","Gift Vouchers/Coupons","Desktop","Wi-Fi",13,86.5,39102.2,16,613.1,"Yes","No","No","Not Applicable","Poor Customer Service","4",919,297
"4421",53,"F","Town","Silver Membership","No","Without Offers","Smartphone","Wi-Fi",16,340.15,22787.78,29,713.53,"No","Yes","No","Not Applicable","Too many ads","3",732,366
"4422",63,"F","Town","No Membership","No","Credit/Debit Card Offers","Desktop","Mobile_Data",13,270.45,20952.69,10,685.85,"No","Yes","Yes","No Information Available","Poor Website","5",1047,291
"4423",62,"F","Town","Gold Membership","Yes","Without Offers","Smartphone","Wi-Fi",17,594.29,20124.44,17,716.33,"No","Yes","Yes","Solved in Follow-up","Poor Customer Service","3",818,401
"4426",21,"M","Town","Silver Membership","No","Without Offers","Both","Wi-Fi",22,415.15,14370.55,24,765.2,"No","Yes","Yes","No Information Available","No reason specified","3",646,527
"4427",41,"F","City","Premium Membership","Yes","Credit/Debit Card Offers","Desktop","Mobile_Data",11,615.48,8962.91,29,764.8,"No","Yes","No","Not Applicable","Too many ads","3",126,254
"4429",24,"F","City","Silver Membership","No","Credit/Debit Card Offers","Smartphone","Wi-Fi",3,180.5,39961.21,24,747,"No","Yes","No","Not Applicable","Too many ads","3",165,53
"4430",58,"F","Town","Gold Membership","Yes","Gift Vouchers/Coupons","Both","Fiber_Optic",2,482.01,28247.85,13,787.85,"No","Yes","No","Not Applicable","Poor Website","3",642,29
"4431",35,"F","City","Silver Membership","Yes","Without Offers","Desktop","Mobile_Data",16,907.33,18952.53,23,1152.15256178359,"Yes","Yes","No","Not Applicable","Poor Product Quality","4",41,382
"4432",32,"F","Town","Gold Membership","No","Gift Vouchers/Coupons","Smartphone","Fiber_Optic",4,313.5,31457.55,7,773.11,"No","Yes","Yes","Solved","Poor Customer Service","3",410,89
"4433",31,"F","Town","Basic Membership","No","Without Offers","Desktop","Mobile_Data",12,30.68,35380.09,4.36124974722887,582.78,"Yes","No","No","Not Applicable","No reason specified","5",730,278
"4435",29,"F","Town","Platinum Membership","No","Gift Vouchers/Coupons","Smartphone","Mobile_Data",20,158.61,57527.92,18,801.6,"No","Yes","Yes","Unsolved","Products always in Stock","1",177,462
